Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C","C_1206_3216Metric",87.630000,-131.142000,270.000000,bottom
"C2","C","C_1206_3216Metric",92.202000,-131.269000,270.000000,bottom
"C3","C","C_1206_3216Metric",109.982000,-131.318000,270.000000,bottom
"C4","C","C_1206_3216Metric",114.808000,-131.318000,270.000000,bottom
"C5","100u","R_1210_3225Metric",93.980000,-148.910000,270.000000,bottom
"C6","100n","R_1210_3225Metric",88.900000,-148.778000,270.000000,bottom
"C9","100u","R_1210_3225Metric",122.428000,-144.338000,270.000000,bottom
"C10","100n","R_1210_3225Metric",127.254000,-144.338000,270.000000,bottom
"C11","10u","R_1210_3225Metric",107.188000,-143.129000,270.000000,bottom
"C12","100u","R_1210_3225Metric",122.428000,-138.303000,90.000000,bottom
"C13","10n","R_1210_3225Metric",89.154000,-143.637000,180.000000,bottom
"C14","100n","R_1210_3225Metric",127.254000,-138.364000,90.000000,bottom
"C17","10n","R_1210_3225Metric",84.074000,-148.906000,90.000000,bottom
"C18","10n","R_1210_3225Metric",111.568000,-96.012000,180.000000,bottom
"D16","SD12","D_1812_4532Metric",108.915200,-152.400000,0.000000,bottom
"IC1","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",80.772000,-116.840000,180.000000,bottom
"IC2","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",135.382000,-78.994000,180.000000,bottom
"IC3","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",81.198000,-104.521000,180.000000,bottom
"IC4","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",96.438000,-121.031000,0.000000,bottom
"IC5","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",122.764000,-78.867000,180.000000,bottom
"IC6","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",109.646000,-121.031000,0.000000,bottom
"IC7","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",109.556000,-78.867000,180.000000,bottom
"IC8","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",122.854000,-121.031000,0.000000,bottom
"IC9","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",96.094000,-79.121000,180.000000,bottom
"IC10","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",135.554000,-121.031000,0.000000,bottom
"IC11","STS6NF20V","SOIC-8_3.9x4.9mm_P1.27mm",82.124000,-79.121000,180.000000,bottom
"R19","R","LED_1206_3216Metric",144.718000,-126.492000,0.000000,bottom
"R20","R","R_1206_3216Metric",144.718000,-121.158000,0.000000,bottom
"R21","R","R_1206_3216Metric",144.842000,-115.824000,0.000000,bottom
