"Source:"	"I:\OneDrive\KiCadDir\KiCadProject\HF_CaricoVariabile\HF_CaricoVariabile_r00\HF_CaricoVariabile_r00.sch"
"Date:"	"19/11/2021 21:25:25"
"Tool:"	"Eeschema (5.1.12)-1"
"Component Count:"	"176"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"5-Ohm1"	"5 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"5R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
"10-Ohm1"	"10 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"10R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
"20-Ohm1"	"20 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"20R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
"40-Ohm1"	"40 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"40R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
"80-Ohm1"	"80 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"80R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
"160-Ohm1"	"160 Ohm"	"Relay:G6K-2"	"Relay_SMD:Relay_DPDT_Omron_G6K-2F-Y"	"Miniature 2-pole relay, Single-side Stable"	""
"160R1"	"LED"	"Device:LED"	"LED_SMD:LED_1210_3225Metric"	"Light emitting diode"	""
